Gene,Half_Life
YOL098C,76.20270963335783
YPL276W,76.15402491468534
YGR161C,76.02810075355517
YLL016W,76.02787046327322
YMR141C,76.0192746797478
YOL072W,75.99027281288518
YLR439W,75.92412831468998
YCR005C,75.87100723602698
YBL066C,75.78559616773298
YML039W,75.76327570120422
YDR326C,75.75087425370477
YGR050C,75.72235247970137
YER081W,75.71650636051523
YBL092W,75.69945283243179
YDR018C,75.69522063516725
YGR180C,75.64271145667466
YML066C,75.61921013606526
YGR273C,75.57339064969706
YGL007W,75.57326579805623
YIL130W,75.55428698353204
YER164W,75.51394552307441
YFL013W-A,75.41805060291016
YGR110W,75.41089158915013
YJL116C,75.23656122614804
YDR259C,75.19613745239393
YFR032C,75.09395714918519
YOL110W,75.07515461069416
YKL060C,74.99540245669307
YJL049W,74.86901145558015
YDR370C,74.78769362571977
YDR220C,74.76902152403002
YNR004W,74.62368486274136
YIL013C,74.6147855261623
YCR015C,74.59209819449906
YEL005C,74.54069623744486
YDR388W,74.49342755946626
YPL171C,74.44185010355271
YHL022C,74.35538262586556
YMR170C,74.34069643893777
YAR003W,74.27253253887675
YLR063W,74.26753463727857
YGL061C,74.20868382644397
YOL028C,74.20010562761315
YNL196C,74.17246856476135
YNR050C,74.15268128228718
YKL153W,74.07176177799523
YIL112W,74.06749622245444
YJR103W,74.06549618931474
YCR006C,74.04773486966455
YDR030C,74.0306155846829
YOL160W,73.9801527419086
YBL018C,73.95680066168465
YLR168C,73.77126834625174
YDR351W,73.76473245670043
YAR023C,73.58176880237752
YAR027W,73.17814199988157
YOR007C,73.17479874703291
YPR192W,73.05025039349223
YNL157W,73.0409219661783
YJR009C,72.9945441142522
YKR051W,72.88789036877567
YDL037C,72.85700585955395
YGL066W,72.85369244054239
YER076C,72.84802819789041
YHR124W,72.80755480700844
YMR226C,72.69769599402436
YGL245W,72.65936294267507
YEL035C,72.64933883582108
YJL031C,72.62325937212518
YOL100W,72.59279291460052
YKR069W,72.58623666952003
YHR139C-A,72.58134199521753
YPL265W,72.55811429222705
YGR075C,72.52937437920747
YAL034C,72.49626682020111
YBR118W,72.4606039646389
YEL011W,72.24672702479107
YBL005W,72.20510153286911
YLR133W,72.18638013992698
YCR011C,72.14301866741711
YHR017W,72.09818275695156
YPL009C,72.06474348817879
YDL160C,72.03319383859787
YGR111W,72.02087377564094
YGR205W,72.01706859384811
YNL226W,71.99529588421868
YPL264C,71.97640480235489
YBL037W,71.87220296683721
YPR153W,71.75956659771862
YDR318W,71.75588785965543
YLR137W,71.6761446376941
YNL143C,71.6511090230613
YDR282C,71.46735726948718
YLR155C,71.4443142454011
YDL012C,71.35895276782648
YFR023W,71.29848962115258
YOR166C,71.25064461708419
YGL202W,71.24248255311073
YMR204C,71.23466581727446
YCR063W,71.20197259073701
YDR406W,71.1356474093195
YGR225W,71.10587557561337
YBR284W,71.0817089538203
YBR299W,71.04460023732695
YML113W,71.04062003965355
YHR209W,71.03480894356917
YJL221C,71.01342962131204
YHR022C,70.87587413333135
YAL012W,70.85947888148041
YLR458W,70.85149604017383
YPR201W,70.81952189921475
